stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
13,1,8.0,9.215630874998169,,9.20748241597903,9.215630874998169,9.704669957980514,9.704669957980514,9.71021558297798,,9.961542249977356,right,8.0,1,1,0.2520616670080926,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
14,1,8.0,9.970466374972602,,9.961851540982025,9.970466374972602,10.460420624993276,10.460420624993276,10.460420624993276,,10.47335524999653,left,-8.0,0,0,0.007160042005125433,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
15,1,9.0,10.481556124985218,,10.473807082977146,10.481556124985218,10.971268374996725,10.971268374996725,10.976303832983831,,11.206764374976046,right,9.0,1,1,0.22998170799110085,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
16,1,9.0,11.214931540976977,,11.207064665999496,11.214931540976977,11.70467245799955,11.70467245799955,11.710114874993451,11.992545249988325,12.107029165985296,right,9.0,1,1,0.3917856670159381,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
17,1,9.0,12.11539074999746,,12.10737295798026,12.11539074999746,12.604658957978245,12.604658957978245,12.610366790991975,12.892238457978237,12.990186040988192,right,9.0,1,1,0.3789837499789428,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
18,1,8.0,12.998506499978248,,12.99062270799186,12.998506499978248,13.48800187499728,13.48800187499728,13.493110249983147,13.775373415992362,13.9569794999843,left,-8.0,1,1,0.4618238750263117,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
19,1,8.0,13.964813707978465,,13.957269582984736,13.964813707978465,14.454726165975444,14.454726165975444,14.46092937499634,14.741849290992832,14.827836332988227,right,8.0,1,1,0.3702034579764586,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
20,1,8.0,14.837271665979642,,14.82816733297659,14.837271665979642,15.326488957973197,15.326488957973197,15.326488957973197,,15.590160624997225,right,8.0,1,1,0.26059774999157526,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
21,0.5,7.0,15.599029582983349,,15.590479832986603,15.599029582983349,16.087882457999513,16.087882457999513,16.0933447079733,,16.356888624985004,left,-7.0,0,0,0.2612604169989936,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
22,0.5,7.5,16.365849207999418,,16.357212457980495,16.365849207999418,16.85449649998918,16.85449649998918,16.859534415998496,,17.127855999977328,left,-7.5,0,0,0.26865350001025945,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
23,0.5,8.0,17.13712212498649,,17.128205082990462,17.13712212498649,17.62659524998162,17.62659524998162,17.62659524998162,17.926645250001457,18.10689195798477,left,-8.0,1,1,0.47553233298822306,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
